layout,task_id,model,criterion,successes,trials,rate,wilson_low,wilson_high
canvas-opposite-corner,read-known-value,foundry/gpt-5.6-terra,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
canvas-opposite-corner,copy-known-value,foundry/Kimi-K2.6,substring_match,8,10,0.8,0.49016247153664183,0.9433178485456247
canvas-opposite-corner,copy-known-value,foundry/gpt-5.6-terra,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
canvas-opposite-corner,read-known-value,foundry/Kimi-K2.6,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
canvas-opposite-corner,read-known-value,foundry/gpt-5.6-terra,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
canvas-opposite-corner,copy-known-value,foundry/Kimi-K2.6,target_without_marker,8,10,0.8,0.49016247153664183,0.9433178485456247
canvas-opposite-corner,copy-known-value,foundry/gpt-5.6-terra,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
canvas-opposite-corner,read-known-value,foundry/Kimi-K2.6,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
canvas-opposite-corner,read-known-value,foundry/gpt-5.6-terra,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
dom-inline-bar,copy-known-value,foundry/Kimi-K2.6,exact_match,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,copy-known-value,foundry/gpt-5.6-terra,exact_match,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,read-known-value,foundry/Kimi-K2.6,exact_match,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,read-known-value,foundry/gpt-5.6-terra,exact_match,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,copy-known-value,foundry/Kimi-K2.6,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
dom-inline-bar,copy-known-value,foundry/gpt-5.6-terra,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
dom-inline-bar,read-known-value,foundry/Kimi-K2.6,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
dom-inline-bar,read-known-value,foundry/gpt-5.6-terra,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
dom-inline-bar,copy-known-value,foundry/Kimi-K2.6,target_without_marker,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,copy-known-value,foundry/gpt-5.6-terra,target_without_marker,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,read-known-value,foundry/Kimi-K2.6,target_without_marker,0,10,0.0,0.0,0.2775327998628892
dom-inline-bar,read-known-value,foundry/gpt-5.6-terra,target_without_marker,0,10,0.0,0.0,0.2775327998628892
