architecture,task_id,task_revision,model_id,condition_id,trials,reachable_successes,reachability_rate,reachability_ci_lower,reachability_ci_upper,task_successes,task_success_rate,task_success_ci_lower,task_success_ci_upper,blindness_reports,blindness_rate,blindness_ci_lower,blindness_ci_upper,reachable_success,reachable_failure,unreachable_success,unreachable_failure,mean_actions,mean_input_tokens,mean_output_tokens,mean_total_tokens,mean_tokens_per_action,mean_elapsed_seconds,mean_provider_cost_usd
dom_extraction,copy-known-value,5,foundry-kimi-k2-6,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14742.9,816.8,15559.7,5186.566666666667,25.2588567,
dom_extraction,copy-known-value,5,foundry-kimi-k2-6,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,6,0.6,0.31267376973365824,0.8318196702937638,0,0,0,10,4.3,32353.4,2425.8,34779.2,8088.186046511628,146.3769274,
dom_extraction,copy-known-value,5,foundry-kimi-k2-6,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14775.5,962.6,15738.1,5246.033333333334,26.5366607,
dom_extraction,copy-known-value,5,foundry-kimi-k2-6,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14802.9,868.2,15671.1,5223.7,27.4141297,
dom_extraction,copy-known-value,5,foundry-kimi-k2-6,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14769.4,823.3,15592.7,5197.566666666667,27.048645099999998,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6920.0,145.9,7065.9,7065.9,3.9020975,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6960.2,150.5,7110.7,7110.7,3.8915397,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6999.0,145.5,7144.5,7144.5,4.0082475,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6923.8,136.7,7060.5,7060.5,3.6839313,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6965.4,151.8,7117.2,7117.2,3.9898811000000003,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7005.2,142.3,7147.5,7147.5,3.7413891999999995,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6864.4,133.8,6998.2,6998.2,3.6819039000000005,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,1,0.1,0.017876213095072896,0.4041500267952385,0,0,0,10,7.2,48015.3,2192.9,50208.2,6973.361111111111,44.238985,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6895.2,135.2,7030.4,7030.4,3.8891075,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6911.6,146.9,7058.5,7058.5,4.0999567,
dom_extraction,read-known-value,2,foundry-gpt-5-6-terra,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,6890.6,133.3,7023.9,7023.9,3.6193125000000004,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7351.6,287.8,7639.4,7639.4,11.1645302,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7392.2,281.4,7673.6,7673.6,11.084126999999999,
