architecture,axis_id,level_id,level_order,condition_id,trials,reachable_successes,reachable_rate,reachable_ci_lower,reachable_ci_upper,task_successes,task_success_rate,task_success_ci_lower,task_success_ci_upper
cdp_frame_traversal,iframe-same-origin-depth,depth-1,1,iframe-same-depth-1,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,iframe-same-origin-depth,depth-2,2,iframe-same-depth-2,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,iframe-same-origin-depth,depth-3,3,iframe-same-depth-3,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,iframe-cross-origin-depth,depth-0,0,level-0,40,40,1.0,0.9123783988027135,1.0,39,0.975,0.8711863103652591,0.9955731684973186
cdp_frame_traversal,iframe-cross-origin-depth,depth-1,1,iframe-cross-depth-1,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,iframe-cross-origin-depth,depth-2,2,iframe-cross-depth-2,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,iframe-cross-origin-depth,depth-3,3,iframe-cross-depth-3,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,shadow-containment,none,0,level-0,40,40,1.0,0.9123783988027135,1.0,39,0.975,0.8711863103652591,0.9955731684973186
cdp_frame_traversal,shadow-containment,open,1,shadow-open,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,shadow-containment,closed,2,shadow-closed,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,shadow-containment,nested-open-open,3,shadow-nested-open-open,40,40,1.0,0.9123783988027135,1.0,40,1.0,0.9123783988027135,1.0
cdp_frame_traversal,rendered-target,dom,0,level-0,40,40,1.0,0.9123783988027135,1.0,39,0.975,0.8711863103652591,0.9955731684973186
cdp_frame_traversal,rendered-target,canvas,1,rendered-canvas,40,0,0.0,0.0,0.08762160119728664,0,0.0,0.0,0.08762160119728664
