architecture,task_id,task_revision,model_id,axis_id,outcome,levels,auc,mean_drop,total_drop,largest_single_level_drop,cliff_ratio,cliff_classifier,cliff_at_0_50,cliff_at_0_75,bootstrap_samples,auc_ci_lower,auc_ci_upper,mean_drop_ci_lower,mean_drop_ci_upper,total_drop_ci_lower,total_drop_ci_upper,largest_single_level_drop_ci_lower,largest_single_level_drop_ci_upper,cliff_ratio_ci_lower,cliff_ratio_ci_upper
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dom_extraction,read-known-value,2,foundry-kimi-k2-6,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,0.9499999999999998,0.06666666666666676,0.09999999999999998,0.09999999999999998,1.0,no_material_net_drop,False,False,2000,0.8666666666666667,1.0,0.0,0.16666666666666663,0.0,0.30000000000000004,0.0,0.4,0.0,2.0000000000000004
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
accessibility_tree,read-known-value,2,foundry-kimi-k2-6,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-origin-depth,task_success,4,0.6666666666666666,0.33333333333333337,0.0,1.0,0.0,no_material_net_drop,False,False,2000,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.0,0.0,1.0,1.0,0.0,0.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-origin-depth,task_success,4,0.65,0.3666666666666667,0.09999999999999998,1.0,10.000000000000002,no_material_net_drop,False,False,2000,0.6166666666666667,0.6666666666666666,0.33333333333333337,0.43333333333333335,0.0,0.30000000000000004,1.0,1.0,0.0,10.000000000000002
vision,copy-known-value,5,foundry-gpt-5-6-terra,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,rendered-target,reachability,2,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-gpt-5-6-terra,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vision,copy-known-value,5,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,0.9666666666666667,0.06666666666666676,0.19999999999999996,0.19999999999999996,1.0,no_material_net_drop,False,False,2000,0.9166666666666666,1.0,0.0,0.16666666666666663,0.0,0.5,0.0,0.5,0.0,1.0
vision,copy-known-value,5,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-kimi-k2-6,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-kimi-k2-6,rendered-target,reachability,2,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,copy-known-value,5,foundry-kimi-k2-6,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vision,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-gpt-5-6-terra,iframe-same-origin-depth,task_success,4,0.8333333333333334,0.33333333333333337,1.0,1.0,1.0,cliff,True,True,2000,0.8333333333333334,0.8333333333333334,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
vision,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-origin-depth,task_success,4,0.8333333333333334,0.33333333333333337,1.0,1.0,1.0,cliff,True,True,2000,0.8333333333333334,0.8333333333333334,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
vision,read-known-value,2,foundry-gpt-5-6-terra,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-gpt-5-6-terra,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-gpt-5-6-terra,rendered-target,reachability,2,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-gpt-5-6-terra,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vision,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,rendered-target,reachability,2,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,read-known-value,2,foundry-kimi-k2-6,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-origin-depth,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,shadow-containment,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,shadow-containment,task_success,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,rendered-target,reachability,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,copy-known-value,5,foundry-gpt-5-6-terra,rendered-target,task_success,2,0.5,1.0,1.0,1.0,1.0,cliff,True,True,2000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdp_frame_traversal,copy-known-value,5,foundry-kimi-k2-6,iframe-same-origin-depth,reachability,4,1.0,0.0,0.0,0.0,0.0,no_material_net_drop,False,False,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
