model,layout,metric,count,n,rate,low,high
foundry/gpt-5.4,dom-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,dom-inline-bar,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.4,dom-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-bar,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,canvas-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-gap-40px,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-gap-40px,substring_match,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5.6-terra,canvas-inline-gap-40px,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-two-spaces,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-two-spaces,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,canvas-inline-two-spaces,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-opposite-corner,exact_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,canvas-opposite-corner,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,canvas-opposite-corner,target_without_marker,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,canvas-separate-line,exact_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5.6-terra,canvas-separate-line,substring_match,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5.6-terra,canvas-separate-line,target_without_marker,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5.6-terra,dom-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,dom-inline-bar,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,dom-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
