model,pairs,bootstrap_position_blocks,baseline,treatment,difference,bootstrap_low,bootstrap_high,improved,worsened,mcnemar_exact_p
foundry/gpt-5.6-terra,180,20,75,75,0.0,-0.03333333333333333,0.03333333333333333,5,5,1.0
foundry/Kimi-K2.6,180,20,52,48,-0.022222222222222223,-0.06666666666666667,0.022222222222222223,4,8,0.3876953125
foundry/gpt-5.4,180,20,52,50,-0.011111111111111112,-0.05555555555555555,0.03333333333333333,7,9,0.803619384765625
foundry/gpt-5-mini,180,20,96,102,0.03333333333333333,-0.044444444444444446,0.1111111111111111,31,25,0.5044037600228256
