model,boundary,metric,count,n,rate,low,high
foundry/Kimi-K2.6,separate,exact_match,55,180,0.3055555555555556,0.24290760922735255,0.37632952885327475
foundry/Kimi-K2.6,separate,substring_match,88,180,0.4888888888888889,0.41686216064501447,0.5613799615310212
foundry/Kimi-K2.6,separate,target_without_marker,55,180,0.3055555555555556,0.24290760922735255,0.37632952885327475
foundry/Kimi-K2.6,separate,content_exact,57,180,0.31666666666666665,0.25314597550504087,0.3878490403995504
foundry/Kimi-K2.6,separate,delimitation_error,48,180,0.26666666666666666,0.20743298291597695,0.3356515827807757
foundry/Kimi-K2.6,shared,exact_match,61,180,0.3388888888888889,0.27375116891613144,0.4107596026363883
foundry/Kimi-K2.6,shared,substring_match,95,180,0.5277777777777778,0.4550302612186342,0.5993644333412761
foundry/Kimi-K2.6,shared,target_without_marker,61,180,0.3388888888888889,0.27375116891613144,0.4107596026363883
foundry/Kimi-K2.6,shared,content_exact,63,180,0.35,0.28411585057863636,0.42215279879784745
foundry/Kimi-K2.6,shared,delimitation_error,52,180,0.28888888888888886,0.22763384273435064,0.3589664786103304
foundry/gpt-5-mini,separate,exact_match,19,180,0.10555555555555556,0.0686229943295742,0.1589723429196983
foundry/gpt-5-mini,separate,substring_match,90,180,0.5,0.42772362432714783,0.5722763756728522
foundry/gpt-5-mini,separate,target_without_marker,19,180,0.10555555555555556,0.0686229943295742,0.1589723429196983
foundry/gpt-5-mini,separate,content_exact,37,180,0.20555555555555555,0.1529702227235919,0.27044601494135795
foundry/gpt-5-mini,separate,delimitation_error,102,180,0.5666666666666667,0.4936290513862009,0.6369182155575839
foundry/gpt-5-mini,shared,exact_match,22,180,0.12222222222222222,0.08211540501521036,0.17811674897000834
foundry/gpt-5-mini,shared,substring_match,88,180,0.4888888888888889,0.41686216064501447,0.5613799615310212
foundry/gpt-5-mini,shared,target_without_marker,22,180,0.12222222222222222,0.08211540501521036,0.17811674897000834
foundry/gpt-5-mini,shared,content_exact,32,180,0.17777777777777778,0.12883593460378476,0.24018560850125473
foundry/gpt-5-mini,shared,delimitation_error,96,180,0.5333333333333333,0.46051787057156585,0.6047557629003266
foundry/gpt-5.4,separate,exact_match,62,180,0.34444444444444444,0.2789284375939025,0.4164612728705992
foundry/gpt-5.4,separate,substring_match,112,180,0.6222222222222222,0.5495380618647218,0.6897985941988839
foundry/gpt-5.4,separate,target_without_marker,62,180,0.34444444444444444,0.2789284375939025,0.4164612728705992
foundry/gpt-5.4,separate,content_exact,62,180,0.34444444444444444,0.2789284375939025,0.4164612728705992
foundry/gpt-5.4,separate,delimitation_error,50,180,0.2777777777777778,0.21750928440019993,0.347333159120517
foundry/gpt-5.4,shared,exact_match,53,180,0.29444444444444445,0.232713697185308,0.3647655630713551
foundry/gpt-5.4,shared,substring_match,105,180,0.5833333333333334,0.510305304279413,0.6528787794003181
foundry/gpt-5.4,shared,target_without_marker,53,180,0.29444444444444445,0.232713697185308,0.3647655630713551
foundry/gpt-5.4,shared,content_exact,53,180,0.29444444444444445,0.232713697185308,0.3647655630713551
foundry/gpt-5.4,shared,delimitation_error,52,180,0.28888888888888886,0.22763384273435064,0.3589664786103304
foundry/gpt-5.6-terra,separate,exact_match,54,180,0.3,0.23780501249550132,0.37055318667314374
foundry/gpt-5.6-terra,separate,substring_match,128,180,0.7111111111111111,0.6410335213896696,0.7723661572656493
foundry/gpt-5.6-terra,separate,target_without_marker,54,180,0.3,0.23780501249550132,0.37055318667314374
foundry/gpt-5.6-terra,separate,content_exact,54,180,0.3,0.23780501249550132,0.37055318667314374
foundry/gpt-5.6-terra,separate,delimitation_error,75,180,0.4166666666666667,0.3471212205996818,0.48969469572058694
foundry/gpt-5.6-terra,shared,exact_match,54,180,0.3,0.23780501249550132,0.37055318667314374
foundry/gpt-5.6-terra,shared,substring_match,128,180,0.7111111111111111,0.6410335213896696,0.7723661572656493
foundry/gpt-5.6-terra,shared,target_without_marker,54,180,0.3,0.23780501249550132,0.37055318667314374
foundry/gpt-5.6-terra,shared,content_exact,54,180,0.3,0.23780501249550132,0.37055318667314374
foundry/gpt-5.6-terra,shared,delimitation_error,75,180,0.4166666666666667,0.3471212205996818,0.48969469572058694
