model,pairs,bootstrap_position_blocks,baseline,treatment,difference,bootstrap_low,bootstrap_high,improved,worsened,mcnemar_exact_p
foundry/gpt-5.6-terra,120,20,119,12,-0.8916666666666667,-0.9333333333333333,-0.85,0,107,1.232595164407831e-32
foundry/Kimi-K2.6,120,20,100,0,-0.8333333333333334,-0.8916666666666667,-0.775,0,100,1.5777218104420236e-30
foundry/gpt-5.4,120,20,95,0,-0.7916666666666666,-0.8583333333333333,-0.7166666666666667,0,95,5.048709793414476e-29
foundry/gpt-5-mini,120,20,92,27,-0.5416666666666666,-0.6333333333333333,-0.4583333333333333,1,66,9.215718466126788e-19
