model,task_id,origin,depth,metric,count,n,rate,low,high
foundry/gpt-5-mini,read-known-value,cross,1,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,1,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cross,2,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,2,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,2,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,2,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,2,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cross,3,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,3,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,3,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,3,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cross,3,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,same,0,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,0,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,0,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,0,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,0,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,same,1,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,1,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,1,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,1,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,same,2,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,2,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,2,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,2,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,2,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,same,3,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,3,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,3,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,3,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,same,3,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,cross,1,exact_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,cross,1,substring_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,cross,1,target_without_marker,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,cross,1,content_exact,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,cross,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,cross,2,exact_match,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5.4,copy-known-value,cross,2,substring_match,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5.4,copy-known-value,cross,2,target_without_marker,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5.4,copy-known-value,cross,2,content_exact,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5.4,copy-known-value,cross,2,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,cross,3,exact_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,cross,3,substring_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,cross,3,target_without_marker,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,cross,3,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,cross,3,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,same,0,exact_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,same,0,substring_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,same,0,target_without_marker,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,same,0,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5.4,copy-known-value,same,0,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,same,1,exact_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5.4,copy-known-value,same,1,substring_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5.4,copy-known-value,same,1,target_without_marker,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5.4,copy-known-value,same,1,content_exact,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5.4,copy-known-value,same,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,same,2,exact_match,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5.4,copy-known-value,same,2,substring_match,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5.4,copy-known-value,same,2,target_without_marker,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5.4,copy-known-value,same,2,content_exact,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5.4,copy-known-value,same,2,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,same,3,exact_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,same,3,substring_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,same,3,target_without_marker,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,same,3,content_exact,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5.4,copy-known-value,same,3,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,cross,1,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,1,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,1,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,1,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,cross,2,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,2,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,2,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,2,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,2,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,cross,3,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,3,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,3,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,3,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,cross,3,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,same,0,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,0,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,0,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,0,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,0,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,same,1,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,1,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,1,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,1,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,same,2,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,2,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,2,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,2,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,2,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,same,3,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,3,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,3,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,3,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,same,3,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,cross,1,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,cross,1,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,cross,1,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,cross,1,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,cross,1,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,cross,2,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
