model,task_id,layout,metric,count,n,rate,low,high
foundry/gpt-5.6-terra,read-known-value,canvas-opposite-corner,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-opposite-corner,no_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,canvas-separate-line,no_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,dom-inline-bar,no_candidate,0,10,0.0,0.0,0.2775327998628892
