model,layout,gap,metric,count,n,rate,low,high
foundry/gpt-5-mini,form,40,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,form,40,target_without_marker,4,40,0.1,0.03957952868260638,0.23051775227522298
foundry/gpt-5-mini,form,40,content_exact,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5-mini,form,40,delimitation_error,27,40,0.675,0.5201774618987768,0.799154977682173
foundry/gpt-5-mini,form,96,exact_match,10,40,0.25,0.14187118639096302,0.40193961420768026
foundry/gpt-5-mini,form,96,substring_match,19,40,0.475,0.329354701126789,0.6250263789330753
foundry/gpt-5-mini,form,96,target_without_marker,10,40,0.25,0.14187118639096302,0.40193961420768026
foundry/gpt-5-mini,form,96,content_exact,16,40,0.4,0.2634832568429192,0.5540410633965381
foundry/gpt-5-mini,form,96,delimitation_error,10,40,0.25,0.14187118639096302,0.40193961420768026
foundry/gpt-5-mini,table,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,table,8,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,table,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,table,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,table,8,delimitation_error,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/gpt-5-mini,table,40,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,table,40,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,table,40,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,table,40,content_exact,3,40,0.075,0.025836025774588198,0.19864233524310543
foundry/gpt-5-mini,table,40,delimitation_error,28,40,0.7,0.5456998118185507,0.8192515477025347
foundry/gpt-5-mini,table,96,exact_match,11,40,0.275,0.16108016247667337,0.42834955806210573
foundry/gpt-5-mini,table,96,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,table,96,target_without_marker,11,40,0.275,0.16108016247667337,0.42834955806210573
foundry/gpt-5-mini,table,96,content_exact,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5-mini,table,96,delimitation_error,11,40,0.275,0.16108016247667337,0.42834955806210573
foundry/gpt-5.4,cards,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,cards,8,substring_match,33,40,0.825,0.6805000966821229,0.9125458625396408
foundry/gpt-5.4,cards,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,cards,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,cards,8,delimitation_error,33,40,0.825,0.6805000966821229,0.9125458625396408
foundry/gpt-5.4,cards,40,exact_match,18,40,0.45,0.3070530781090492,0.6017090820106794
foundry/gpt-5.4,cards,40,substring_match,18,40,0.45,0.3070530781090492,0.6017090820106794
foundry/gpt-5.4,cards,40,target_without_marker,18,40,0.45,0.3070530781090492,0.6017090820106794
foundry/gpt-5.4,cards,40,content_exact,18,40,0.45,0.3070530781090492,0.6017090820106794
foundry/gpt-5.4,cards,40,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,cards,96,exact_match,14,40,0.35,0.2213452887317629,0.5049411916274231
foundry/gpt-5.4,cards,96,substring_match,14,40,0.35,0.2213452887317629,0.5049411916274231
foundry/gpt-5.4,cards,96,target_without_marker,14,40,0.35,0.2213452887317629,0.5049411916274231
foundry/gpt-5.4,cards,96,content_exact,14,40,0.35,0.2213452887317629,0.5049411916274231
foundry/gpt-5.4,cards,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
